a|PersonType|NameStyle|Title|FirstName|MiddleName|LastName|Suffix|EmailPromotion|AdditionalContactInfo
37|EM|0|NULL|Chris|O|Okelberry|NULL|0|NULL
38|EM|0|NULL|Kim|B|Abercrombie|NULL|2|NULL
39|EM|0|NULL|Ed|R|Dudenhoefer|NULL|0|NULL
40|EM|0|NULL|JoLynn|M|Dobney|NULL|1|NULL
41|EM|0|NULL|Bryan|NULL|Baker|NULL|0|NULL
42|EM|0|NULL|James|D|Kramer|NULL|2|NULL
43|EM|0|NULL|Nancy|A|Anderson|NULL|1|NULL
44|EM|0|NULL|Simon|D|Rapier|NULL|0|NULL
45|EM|0|NULL|Thomas|R|Michaels|NULL|1|NULL
46|EM|0|NULL|Eugene|O|Kogan|NULL|0|NULL
47|EM|0|NULL|Andrew|R|Hill|NULL|1|NULL
48|EM|0|NULL|Ruth|Ann|Ellerbrock|NULL|0|NULL
49|EM|0|NULL|Barry|K|Johnson|NULL|0|NULL
50|EM|0|NULL|Sidney|M|Higa|NULL|0|NULL
51|EM|0|NULL|Jeffrey|L|Ford|NULL|0|NULL
52|EM|0|NULL|Doris|M|Hartwig|NULL|0|NULL
53|EM|0|NULL|Diane|R|Glimp|NULL|2|NULL
54|EM|0|NULL|Bonnie|N|Kearney|NULL|0|NULL
55|EM|0|NULL|Taylor|R|Maxwell|NULL|0|NULL
56|EM|0|NULL|Denise|H|Smith|NULL|0|NULL
57|EM|0|NULL|Frank|T|Miller|NULL|1|NULL
58|EM|0|NULL|Kendall|C|Keil|NULL|2|NULL
59|EM|0|NULL|Bob|N|Hohman|NULL|0|NULL
60|EM|0|NULL|Pete|C|Male|NULL|2|NULL
61|EM|0|NULL|Diane|H|Tibbott|NULL|0|NULL
62|EM|0|NULL|John|T|Campbell|NULL|1|NULL
63|EM|0|NULL|Maciej|W|Dusza|NULL|0|NULL
64|EM|0|NULL|Michael|J|Zwilling|NULL|1|NULL
65|EM|0|NULL|Randy|T|Reeves|NULL|0|NULL
66|EM|0|NULL|Karan|R|Khanna|NULL|1|NULL
67|EM|0|NULL|Jay|G|Adams|NULL|0|NULL
68|EM|0|NULL|Charles|B|Fitzgerald|NULL|2|NULL
69|EM|0|NULL|Steve|F|Masters|NULL|1|NULL
70|EM|0|NULL|David|J|Ortiz|NULL|0|NULL
71|EM|0|NULL|Michael|Sean|Ray|NULL|2|NULL
72|EM|0|NULL|Steven|T|Selikoff|NULL|2|NULL
73|EM|0|NULL|Carole|M|Poland|NULL|2|NULL
74|EM|0|NULL|Bjorn|M|Rettig|NULL|1|NULL
75|EM|0|NULL|Michiko|F|Osada|NULL|0|NULL
76|EM|0|NULL|Carol|M|Philips|NULL|2|NULL
77|EM|0|NULL|Merav|A|Netz|NULL|0|NULL
78|EM|0|NULL|Reuben|H|D'sa|NULL|2|NULL
79|EM|0|NULL|Eric|L|Brown|NULL|0|NULL
80|EM|0|NULL|Sandeep|P|Kaliyath|NULL|2|NULL
81|EM|0|NULL|Mihail|U|Frintu|NULL|0|NULL
82|EM|0|NULL|Jack|T|Creasey|NULL|0|NULL
83|EM|0|NULL|Patrick|M|Cook|NULL|0|NULL
84|EM|0|NULL|Frank|R|Martinez|NULL|1|NULL
85|EM|0|NULL|Brian|Richard|Goldstein|NULL|0|NULL
86|EM|0|NULL|Ryan|L|Cornelsen|NULL|2|NULL
87|EM|0|NULL|Cristian|K|Petculescu|NULL|1|NULL
88|EM|0|NULL|Betsy|A|Stadick|NULL|0|NULL
89|EM|0|NULL|Patrick|C|Wedge|NULL|0|NULL
90|EM|0|NULL|Danielle|C|Tiedt|NULL|1|NULL
91|EM|0|NULL|Kimberly|B|Zimmerman|NULL|0|NULL
92|EM|0|NULL|Tom|M|Vande Velde|NULL|0|NULL
93|EM|0|NULL|Kok-Ho|T|Loh|NULL|2|NULL
94|EM|0|NULL|Russell|NULL|Hunter|NULL|1|NULL
95|EM|0|NULL|Jim|H|Scardelis|NULL|2|NULL
96|EM|0|NULL|Elizabeth|I|Keyser|NULL|0|NULL
97|EM|0|NULL|Mandar|H|Samant|NULL|0|NULL
98|EM|0|NULL|Sameer|A|Tejani|NULL|0|NULL
99|EM|0|NULL|Nuan|NULL|Yu|NULL|0|NULL
100|EM|0|NULL|Lolan|B|Song|NULL|1|NULL
101|EM|0|NULL|Houman|N|Pournasseh|NULL|2|NULL
102|EM|0|NULL|Zheng|W|Mu|NULL|0|NULL
103|EM|0|NULL|Ebru|N|Ersan|NULL|2|NULL
104|EM|0|NULL|Mary|R|Baker|NULL|2|NULL
105|EM|0|NULL|Kevin|M|Homer|NULL|0|NULL
106|EM|0|NULL|John|T|Kane|NULL|1|NULL
107|EM|0|NULL|Christopher|E|Hill|NULL|0|NULL
108|EM|0|NULL|Jinghao|K|Liu|NULL|0|NULL
109|EM|0|NULL|Alice|O|Ciccu|NULL|1|NULL
110|EM|0|NULL|Jun|T|Cao|NULL|0|NULL
111|EM|0|NULL|Suroor|R|Fatima|NULL|0|NULL
112|EM|0|NULL|John|P|Evans|NULL|1|NULL
113|EM|0|NULL|Linda|K|Moschell|NULL|1|NULL
114|EM|0|NULL|Mindaugas|J|Krapauskas|NULL|1|NULL
115|EM|0|NULL|Angela|W|Barbariol|NULL|2|NULL
116|EM|0|NULL|Michael|W|Patten|NULL|0|NULL
117|EM|0|NULL|Chad|W|Niswonger|NULL|1|NULL
118|EM|0|NULL|Don|L|Hall|NULL|0|NULL
119|EM|0|NULL|Michael|T|Entin|NULL|1|NULL
120|EM|0|NULL|Kitti|H|Lertpiriyasuwat|NULL|0|NULL
121|EM|0|NULL|Pilar|G|Ackerman|NULL|0|NULL
122|EM|0|NULL|Susan|W|Eaton|NULL|2|NULL
123|EM|0|NULL|Vamsi|N|Kuppa|NULL|0|NULL
124|EM|0|NULL|Kim|T|Ralls|NULL|2|NULL
125|EM|0|NULL|Matthias|T|Berndt|NULL|0|NULL
126|EM|0|NULL|Jimmy|T|Bischoff|NULL|0|NULL
127|EM|0|NULL|David|P|Hamilton|NULL|1|NULL
128|EM|0|NULL|Paul|B|Komosinski|NULL|2|NULL
129|EM|0|NULL|Gary|W|Yukish|NULL|0|NULL
130|EM|0|NULL|Rob|T|Caron|NULL|0|NULL
131|EM|0|NULL|Baris|F|Cetinok|NULL|2|NULL
132|EM|0|NULL|Nicole|B|Holliday|NULL|0|NULL
133|EM|0|NULL|Michael|L|Rothkugel|NULL|2|NULL
134|EM|0|NULL|Eric|NULL|Gubbels|NULL|2|NULL
135|EM|0|NULL|Ivo|William|Salmre|NULL|0|NULL
136|EM|0|NULL|Sylvester|A|Valdez|NULL|0|NULL
137|EM|0|NULL|Anibal|T|Sousa|NULL|0|NULL
138|EM|0|NULL|Samantha|H|Smith|NULL|0|NULL
139|EM|0|Mr.|Hung-Fu|T|Ting|NULL|0|NULL
140|EM|0|NULL|Prasanna|E|Samarawickrama|NULL|1|NULL
141|EM|0|NULL|Min|G|Su|NULL|0|NULL
142|EM|0|NULL|Olinda|C|Turner|NULL|0|NULL
143|EM|0|NULL|Krishna|NULL|Sunkammurali|NULL|2|NULL
144|EM|0|NULL|Paul|R|Singh|NULL|2|NULL
145|EM|0|NULL|Cynthia|S|Randall|NULL|0|NULL
146|EM|0|NULL|Jian Shuo|NULL|Wang|NULL|0|NULL
147|EM|0|NULL|Sandra|NULL|Reátegui Alayo|NULL|0|NULL
148|EM|0|NULL|Jason|M|Watters|NULL|0|NULL
149|EM|0|NULL|Andy|M|Ruth|NULL|1|NULL
150|EM|0|NULL|Michael|T|Vanderhyde|NULL|2|NULL
151|EM|0|NULL|Rostislav|E|Shabalin|NULL|2|NULL
152|EM|0|NULL|Yuhong|L|Li|NULL|1|NULL
153|EM|0|NULL|Hanying|P|Feng|NULL|0|NULL
154|EM|0|NULL|Raymond|K|Sam|NULL|0|NULL
155|EM|0|NULL|Fadi|K|Fakhouri|NULL|2|NULL
156|EM|0|NULL|Lane|M|Sacksteder|NULL|1|NULL
157|EM|0|NULL|Linda|A|Randall|NULL|0|NULL
158|EM|0|NULL|Shelley|N|Dyck|NULL|0|NULL
159|EM|0|NULL|Terrence|W|Earls|NULL|1|NULL
160|EM|0|NULL|Jeff|V|Hay|NULL|1|NULL
161|EM|0|NULL|Kirk|J|Koenigsbauer|NULL|1|NULL
162|EM|0|NULL|Laura|C|Steele|NULL|0|NULL
163|EM|0|NULL|Alex|M|Nayberg|NULL|1|NULL
164|EM|0|NULL|Andrew|M|Cencini|NULL|0|NULL
165|EM|0|NULL|Chris|T|Preston|NULL|0|NULL
166|EM|0|NULL|Jack|S|Richins|NULL|0|NULL
167|EM|0|NULL|David|N|Johnson|NULL|0|NULL
168|EM|0|NULL|Garrett|R|Young|NULL|2|NULL
169|EM|0|NULL|Susan|A|Metters|NULL|1|NULL
170|EM|0|NULL|George|Z|Li|NULL|0|NULL
171|EM|0|NULL|David|A|Yalovsky|NULL|1|NULL
172|EM|0|NULL|Marc|J|Ingle|NULL|2|NULL
173|EM|0|NULL|Eugene|R|Zabokritski|NULL|0|NULL
174|EM|0|NULL|Benjamin|R|Martin|NULL|2|NULL
175|EM|0|NULL|Reed|T|Koch|NULL|0|NULL
176|EM|0|NULL|David|Oliver|Lawrence|NULL|0|NULL
177|EM|0|NULL|Russell|M|King|NULL|0|NULL
178|EM|0|NULL|John|N|Frum|NULL|2|NULL
179|EM|0|NULL|Jan|S|Miksovsky|NULL|0|NULL
180|EM|0|NULL|Katie|L|McAskill-White|NULL|2|NULL
181|EM|0|NULL|Michael|T|Hines|NULL|0|NULL
182|EM|0|NULL|Nitin|S|Mirchandani|NULL|0|NULL
183|EM|0|NULL|Barbara|S|Decker|NULL|0|NULL
184|EM|0|NULL|John|Y|Chen|NULL|2|NULL
185|EM|0|NULL|Stefen|A|Hesse|NULL|1|NULL
186|EM|0|NULL|Shane|S|Kim|NULL|2|NULL
187|EM|0|NULL|Yvonne|S|McKay|NULL|0|NULL
188|EM|0|NULL|Douglas|B|Hite|NULL|1|NULL
189|EM|0|NULL|Janeth|M|Esteves|NULL|1|NULL
190|EM|0|NULL|Robert|J|Rounthwaite|NULL|0|NULL
191|EM|0|NULL|Lionel|C|Penuchot|NULL|1|NULL
192|EM|0|NULL|Brenda|M|Diaz|NULL|1|NULL
193|EM|0|NULL|Alejandro|E|McGuel|NULL|0|NULL
194|EM|0|NULL|Fred|T|Northup|NULL|0|NULL
195|EM|0|NULL|Kevin|H|Liu|NULL|2|NULL
196|EM|0|NULL|Shammi|G|Mohamed|NULL|0|NULL
197|EM|0|NULL|Rajesh|M|Patel|NULL|1|NULL
198|EM|0|NULL|Lorraine|O|Nay|NULL|1|NULL
199|EM|0|NULL|Paula|R|Nartker|NULL|1|NULL
200|EM|0|NULL|Frank|T|Lee|NULL|0|NULL
201|EM|0|NULL|Brian|T|Lloyd|NULL|0|NULL
202|EM|0|NULL|Tawana|G|Nusbaum|NULL|0|NULL
203|EM|0|NULL|Ken|L|Myer|NULL|1|NULL
204|EM|0|NULL|Gabe|B|Mares|NULL|0|NULL
205|EM|0|NULL|Lori|A|Kane|NULL|0|NULL
206|EM|0|NULL|Stuart|V|Munson|NULL|2|NULL
207|EM|0|NULL|Greg|F|Alderson|NULL|0|NULL
208|EM|0|NULL|Scott|R|Gode|NULL|0|NULL
209|EM|0|NULL|Kathie|E|Flood|NULL|0|NULL
210|EM|0|NULL|Belinda|M|Newman|NULL|2|NULL
211|EM|0|NULL|Hazem|E|Abolrous|NULL|0|NULL
212|EM|0|NULL|Peng|J|Wu|NULL|2|NULL
213|EM|0|NULL|Sootha|T|Charncherngkha|NULL|0|NULL
214|EM|0|NULL|Andreas|T|Berglund|NULL|0|NULL
215|EM|0|NULL|Mark|L|Harrington|NULL|0|NULL
216|EM|0|NULL|Sean|P|Alexander|NULL|2|NULL
217|EM|0|NULL|Zainal|T|Arifin|NULL|1|NULL
218|EM|0|NULL|Tengiz|N|Kharatishvili|NULL|1|NULL
219|EM|0|NULL|Sean|N|Chai|NULL|0|NULL
220|EM|0|NULL|Karen|R|Berge|NULL|0|NULL
221|EM|0|NULL|Chris|K|Norred|NULL|0|NULL
222|EM|0|NULL|A. Scott|NULL|Wright|NULL|0|NULL
223|EM|0|NULL|Sairaj|L|Uddin|NULL|0|NULL
224|EM|0|NULL|William|S|Vong|NULL|2|NULL
225|EM|0|NULL|Alan|J|Brewer|NULL|0|NULL
226|EM|0|NULL|Brian|P|LaMee|NULL|0|NULL
227|EM|0|NULL|Gary|E.|Altman|III|0|NULL
228|EM|0|NULL|Christian|E|Kleinerman|NULL|0|NULL
229|EM|0|NULL|Lori|K|Penor|NULL|0|NULL
230|EM|0|NULL|Stuart|J|Macrae|NULL|0|NULL
231|EM|0|NULL|Jo|L|Berry|NULL|0|NULL
232|EM|0|NULL|Pat|H|Coleman|NULL|0|NULL
233|EM|0|NULL|Magnus|E|Hedlund|NULL|0|NULL
234|EM|0|NULL|Laura|F|Norman|NULL|1|NULL
235|EM|0|NULL|Paula|M|Barreto de Mattos|NULL|2|NULL
236|EM|0|NULL|Grant|N|Culbertson|NULL|2|NULL
237|EM|0|NULL|Hao|O|Chen|NULL|0|NULL
238|EM|0|NULL|Vidur|X|Luthra|NULL|0|NULL
239|EM|0|NULL|Mindy|C|Martin|NULL|0|NULL
240|EM|0|NULL|Willis|T|Johnson|NULL|0|NULL
241|EM|0|NULL|David|J|Liu|NULL|0|NULL
242|EM|0|NULL|Deborah|E|Poe|NULL|0|NULL
243|EM|0|NULL|Candy|L|Spoon|NULL|0|NULL
244|EM|0|NULL|Bryan|A|Walton|NULL|0|NULL
245|EM|0|NULL|Barbara|C|Moreland|NULL|0|NULL
246|EM|0|NULL|Dragan|K|Tomic|NULL|1|NULL
247|EM|0|NULL|Janet|L|Sheperdigian|NULL|0|NULL
248|EM|0|NULL|Mike|K|Seamans|NULL|2|NULL
249|EM|0|NULL|Wendy|Beth|Kahn|NULL|2|NULL
250|EM|0|NULL|Sheela|H|Word|NULL|0|NULL
251|EM|0|NULL|Mikael|Q|Sandberg|NULL|2|NULL
252|EM|0|NULL|Arvind|B|Rao|NULL|0|NULL
253|EM|0|NULL|Linda|P|Meisner|NULL|0|NULL
254|EM|0|NULL|Fukiko|J|Ogisu|NULL|0|NULL
255|EM|0|NULL|Gordon|L|Hee|NULL|0|NULL
256|EM|0|NULL|Frank|S|Pellow|NULL|0|NULL
257|EM|0|NULL|Eric|S|Kurjan|NULL|2|NULL
258|EM|0|NULL|Erin|M|Hagens|NULL|0|NULL
259|EM|0|NULL|Ben|T|Miller|NULL|0|NULL
260|EM|0|NULL|Annette|L|Hill|NULL|1|NULL
261|EM|0|NULL|Reinout|N|Hillmann|NULL|2|NULL
262|EM|0|NULL|David|M|Barber|NULL|0|NULL
263|EM|0|NULL|Jean|E|Trenary|NULL|2|NULL
264|EM|0|NULL|Stephanie|A|Conroy|NULL|2|NULL
265|EM|0|NULL|Ashvini|R|Sharma|NULL|1|NULL
266|EM|0|NULL|Peter|I|Connelly|NULL|0|NULL
267|EM|0|NULL|Karen|A|Berg|NULL|0|NULL
268|EM|0|NULL|Ramesh|V|Meyyappan|NULL|1|NULL
269|EM|0|NULL|Dan|K|Bacon|Jr.|0|NULL
270|EM|0|NULL|François|P|Ajenstat|NULL|0|NULL
271|EM|0|NULL|Dan|B|Wilson|NULL|0|NULL
272|EM|0|NULL|Janaina|Barreiro Gambaro|Bueno|NULL|0|NULL
273|EM|0|Mr.|Brian|S|Welcker|NULL|0|NULL
274|SP|0|NULL|Stephen|Y|Jiang|NULL|0|NULL
275|SP|0|NULL|Michael|G|Blythe|NULL|1|NULL
276|SP|0|NULL|Linda|C|Mitchell|NULL|0|NULL
277|SP|0|NULL|Jillian|NULL|Carson|NULL|1|NULL
278|SP|0|NULL|Garrett|R|Vargas|NULL|0|NULL
279|SP|0|NULL|Tsvi|Michael|Reiter|NULL|1|NULL
280|SP|0|NULL|Pamela|O|Ansman-Wolfe|NULL|1|NULL
281|SP|0|NULL|Shu|K|Ito|NULL|2|NULL
282|SP|0|NULL|José|Edvaldo|Saraiva|NULL|0|NULL
283|SP|0|NULL|David|R|Campbell|NULL|0|NULL
284|SP|0|Mr.|Tete|A|Mensa-Annan|NULL|1|NULL
285|SP|0|Mr.|Syed|E|Abbas|NULL|0|NULL
286|SP|0|NULL|Lynn|N|Tsoflias|NULL|2|NULL
287|SP|0|NULL|Amy|E|Alberts|NULL|1|NULL
288|SP|0|NULL|Rachel|B|Valdez|NULL|0|NULL
289|SP|0|NULL|Jae|B|Pak|NULL|0|NULL
313|SC|0|Mr.|James|T.|Aguilar|Jr.|1|NULL
315|SC|0|Mr.|Robert|E.|Ahlering|NULL|0|NULL
317|SC|0|Mr.|François|NULL|Ferrier|NULL|1|NULL
319|SC|0|Ms.|Kim|NULL|Akers|NULL|2|NULL
321|SC|0|Ms.|Lili|J.|Alameda|NULL|1|NULL
323|SC|0|Ms.|Amy|E.|Alberts|NULL|1|NULL
325|SC|0|Ms.|Anna|A.|Albright|NULL|1|NULL
327|SC|0|Mr.|Milton|J.|Albury|NULL|0|NULL
329|SC|0|Mr.|Paul|L.|Alcorn|NULL|1|NULL
331|SC|0|Mr.|Gregory|F.|Alderson|NULL|0|NULL
333|SC|0|Mr.|J. Phillip|L.|Alexander|NULL|1|NULL
335|SC|0|Ms.|Michelle|NULL|Alexander|NULL|2|NULL
337|SC|0|Mr.|Sean|P.|Jacobson|NULL|2|NULL
339|SC|0|Ms.|Phyllis|A.|Allen|NULL|1|NULL
341|SC|0|Mr.|Marvin|N.|Allen|NULL|0|NULL
343|SC|0|Mr.|Michael|NULL|Allen|NULL|2|NULL
345|SC|0|Mr.|Cecil|J.|Allison|NULL|0|NULL
347|SC|0|Mr.|Oscar|L.|Alpuerto|NULL|1|NULL
349|SC|0|Ms.|Sandra|J.|Altamirano|NULL|0|NULL
351|SC|0|Ms.|Selena|R.|Alvarado|NULL|0|NULL
353|SC|0|Mr.|Emilio|R.|Alvaro|NULL|1|NULL
355|SC|0|Mr.|Maxwell|J.|Amland|NULL|0|NULL
357|SC|0|Ms.|Mae|N.|Anderson|NULL|0|NULL
359|SC|0|Ms.|Ramona|J.|Antrim|NULL|0|NULL
361|SC|0|Ms.|Sabria|B.|Appelbaum|NULL|0|NULL
363|SC|0|Ms.|Hannah|R.|Arakawa|NULL|0|NULL
365|SC|0|Ms.|Kyley|J.|Arbelaez|NULL|1|NULL
367|SC|0|Mr.|Tom|H|Johnston|NULL|1|NULL
369|SC|0|Mr.|Thomas|B.|Armstrong|Jr.|0|NULL
371|SC|0|Mr.|John|NULL|Arthur|NULL|0|NULL
373|SC|0|Mr.|Chris|NULL|Ashton|NULL|1|NULL
375|SC|0|Ms.|Teresa|NULL|Atkinson|NULL|0|NULL
377|SC|0|Mr.|John|P.|Ault|NULL|0|NULL
379|SC|0|Mr.|Robert|A.|Avalos|NULL|0|NULL
381|SC|0|Mr.|Stephen|M.|Ayers|NULL|0|NULL
383|SC|0|Mr.|Phillip|M.|Bacalzo|NULL|0|NULL
385|SC|0|Mr.|Daniel|NULL|Blanco|NULL|0|NULL
387|SC|0|Mr.|Cory|K.|Booth|NULL|1|NULL
389|SC|0|Mr.|James|B.|Bailey|Jr.|0|NULL
391|SC|0|Mr.|Douglas|A.|Baldwin|Jr.|0|NULL
393|SC|0|Ms.|Jennifer|B.|Bales|NULL|1|NULL
395|SC|0|Mr.|Alberto|F.|Baltazar|NULL|0|NULL
397|SC|0|Mr.|Wayne|N.|Banack|NULL|2|NULL
399|SC|0|Mr.|Darrell|M.|Banks|NULL|2|NULL
401|SC|0|Ms.|Angela|NULL|Barbariol|NULL|0|NULL
403|SC|0|Mr.|David|NULL|Barber|NULL|1|NULL
405|SC|0|Mr.|Robert|L.|Barker|NULL|0|NULL
407|SC|0|Ms.|Rebecca|R.|Barley|NULL|2|NULL
409|SC|0|Ms.|Brenda|L.|Barlow|NULL|1|NULL
411|SC|0|Mr.|Josh|NULL|Barnhill|NULL|0|NULL
413|SC|0|Mr.|Adam|NULL|Barr|NULL|1|NULL
415|SC|0|Ms.|Norma|N.|Barrera|NULL|2|NULL
417|SC|0|NULL|Gytis|M|Barzdukas|NULL|0|NULL
419|SC|0|Mr.|David|M.|Bartness|NULL|0|NULL
421|SC|0|Ms.|Karel|E.|Bates|NULL|1|NULL
423|SC|0|Sr.|Ciro|J.|Bauer|NULL|0|NULL
425|SC|0|Ms.|Glenna|L.|Beanston|NULL|0|NULL
427|SC|0|Mr.|Shaun|NULL|Beasley|NULL|1|NULL
429|SC|0|Mr.|John|A.|Beaver|NULL|0|NULL
431|SC|0|Mr.|Christopher|R.|Beck|Jr.|0|NULL
433|SC|0|Mr.|Bradley|NULL|Beck|NULL|1|NULL
435|SC|0|Mr.|Benjamin|J.|Becker|NULL|0|NULL
437|SC|0|Ms.|Ann|NULL|Beebe|NULL|0|NULL
439|SC|0|Mr.|Shane|J.|Belli|NULL|1|NULL
441|SC|0|Mr.|Stanley|A.|Alan|Jr.|0|NULL
443|SC|0|Mr.|Mason|NULL|Bendixen|NULL|0|NULL
445|SC|0|Mr.|John|M.|Bennetts|NULL|0|NULL
447|SC|0|Mr.|Ido|NULL|Ben-Sachar|NULL|0|NULL
449|SC|0|Ms.|Edna|J.|Benson|NULL|0|NULL
451|SC|0|Mr.|Payton|P.|Benson|NULL|0|NULL
453|SC|0|Mr.|Max|NULL|Benson|NULL|0|NULL
455|SC|0|Mr.|Scot|A.|Bent|NULL|0|NULL
457|SC|0|Mr.|Richard|M.|Bentley|Jr.|0|NULL
459|SC|0|Ms.|Marian|M.|Berch|NULL|0|NULL
461|SC|0|Ms.|Karen|NULL|Berge|NULL|1|NULL
463|SC|0|Mr.|Alexander|J.|Berger|II|1|NULL
465|SC|0|Mr.|John|M.|Berger|Jr.|0|NULL
467|SC|0|Ms.|Kris|R.|Bergin|NULL|0|NULL
469|SC|0|NULL|Andreas|NULL|Berglund|NULL|0|NULL
471|SC|0|Mr.|Robert|M.|Bernacchi|NULL|1|NULL
473|SC|0|Mr.|Matthias|NULL|Berndt|NULL|1|NULL
475|SC|0|NULL|John|NULL|Berry|NULL|0|NULL
477|SC|0|Mr.|Steven|B.|Brown|IV|0|NULL
479|SC|0|Mr.|Chris|N.|Bidelman|NULL|0|NULL
481|SC|0|Ms.|Mary|B.|Billstrom|NULL|1|NULL
483|SC|0|Mr.|Jimmy|NULL|Bischoff|NULL|1|NULL
485|SC|0|Mr.|Mary|NULL|Bishop|NULL|0|NULL
487|SC|0|Ms.|Mae|M.|Black|NULL|2|NULL
489|SC|0|Ms.|Jackie|E.|Blackwell|NULL|1|NULL
491|SC|0|Mr.|Donald|L.|Blanton|NULL|0|NULL
493|SC|0|Ms.|Linda|E.|Burnett|NULL|2|NULL
495|SC|0|Mr.|Michael|Greg|Blythe|NULL|0|NULL
497|SC|0|Ms.|Gabriel|L.|Bockenkamp|NULL|0|NULL
499|SC|0|Mr.|Michael|L.|Bohling|NULL|1|NULL
501|SC|0|Ms.|Corinna|NULL|Bolender|NULL|0|NULL
503|SC|0|Sr.|Luis|NULL|Bonifaz|NULL|2|NULL
505|SC|0|Mr.|Randall|NULL|Boseman|NULL|2|NULL
507|SC|0|Ms.|Stephanie|NULL|Bourne|NULL|0|NULL
509|SC|0|Mr.|Eli|NULL|Bowen|NULL|1|NULL
511|SC|0|Mr.|Lester|J.|Bowman|Sr.|0|NULL
513|SC|0|Mr.|David|M.|Bradley|NULL|1|NULL
515|SC|0|Mr.|Cornelius|L.|Brandon|NULL|0|NULL
517|SC|0|Mr.|Richard|NULL|Bready|NULL|0|NULL
519|SC|0|Ms.|Sara|N.|Breer|NULL|0|NULL
521|SC|0|Mr.|Ted|NULL|Bremer|NULL|1|NULL
523|SC|0|Mr.|Alan|NULL|Brewer|NULL|1|NULL
525|SC|0|Mr.|Walter|J.|Brian|IV|1|NULL
527|SC|0|Mr.|Christopher|M.|Bright|NULL|0|NULL
529|SC|0|Ms.|Carol|J.|Brink|NULL|0|NULL
531|SC|0|Mr.|David|J.|Brink|NULL|1|NULL
533|SC|0|Mr.|John|R.|Brooks|NULL|0|NULL
535|SC|0|Mr.|Willie|P.|Brooks|Jr.|2|NULL
537|SC|0|Ms.|Carolee|J.|Brown|NULL|0|NULL
539|SC|0|Mr.|Jo|NULL|Brown|NULL|1|NULL
541|SC|0|Mr.|Robert|NULL|Brown|NULL|0|NULL
543|SC|0|Mr.|Kevin|F.|Browne|NULL|1|NULL
545|SC|0|Ms.|Mary|K.|Browning|NULL|1|NULL
547|SC|0|Mr.|Dave|P.|Browning|NULL|0|NULL
549|SC|0|Ms.|Bridget|E.|Browqett|NULL|1|NULL
551|SC|0|Mr.|Eric|J.|Brumfield|NULL|0|NULL
553|SC|0|Mr.|Dick|R.|Brummer|Jr.|0|NULL
555|SC|0|Mr.|Michael|NULL|Brundage|NULL|0|NULL
557|SC|0|Ms.|Shirley|R.|Bruner|NULL|2|NULL
559|SC|0|Ms.|June|B.|Brunner|NULL|0|NULL
561|SC|0|Mr.|Dirk|J.|Bruno|NULL|0|NULL
563|SC|0|Ms.|Nancy|NULL|Buchanan|NULL|0|NULL
565|SC|0|Sra.|Janaina Barreiro Gambaro|NULL|Bueno|NULL|1|NULL
